Школьный курс математики. Борис Трушин,bvtrushin.jpeg,"Личный канал преподавателя математики онлайн-школы «Фоксфорд» Бориса Трушина.",rus,YouTube,https://www.youtube.com/@trushinbv,"video"
Essense of Calculus,essence_of_calculus.jpeg,"A free course offering the core concept of Calculus, with a visuals-first approach aimed at making you feel like you could have discovered the subject yourself.",eng,YouTube,https://www.youtube.com/playlist?list=PLZHQObOWTQDMsr9K-rj53DwVRMYO3t5Yr,"video"
Essence of Linear Algebra,essence_of_linear_algebra.png,"A free course offering the core concept of linear algebra with a visuals-first approach.",eng,YouTube,https://www.youtube.com/playlist?list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab,"video"
Wild Mathing,wildmathing.jpeg,"Математика, на мой взгляд — один из видов искусства, и в большинстве роликов последних лет стараюсь это отразить. Возможно, вы сможете лучше понять этот красивейший язык науки, если посмотрите на анимации классических теорем, узнаете о жизни великих ученых. Еще на канале вы сможете найти интересные приемы, полезные задачи и нестандартные факты, которые часто в школе обходят стороной.",rus,YouTube,https://www.youtube.com/@WildMathing,"video"
MIT RES.6-012 Introduction to Probability Spring 2018,probability_res.jpeg,"This resource is a companion site to 6.041SC Probabilistic Systems Analysis and Applied Probability. It covers the same content, using videos developed for an edX version of the course.",eng,YouTube,https://www.youtube.com/playlist?list=PLUl4u3cNGP60hI9ATjSFgLZpbNJ7myAg6,"video"
6.041 Probabilistic Systems Analysis and Applied Probability,probability_lec.jpeg,"Videos from 6.041 Probabilistic Systems Analysis and Applied Probability, Fall 2010",eng,YouTube,https://www.youtube.com/playlist?list=PLUl4u3cNGP61MdtwGTqZA0MreSaDybji8,"video"
Calculus 1 (Full Length Videos),leonard_calc_1.jpeg,"Topics: Review of Algebra/Trigonometric Concepts, Finding Limits, Derivatives and Derivative Techniques, Integrals and Integral Techniques, and Applications.",eng,YouTube,https://www.youtube.com/playlist?list=PLF797E961509B4EB5,"video"
Calculus 2 (Full Length Videos),leonard_calc_2.jpeg,"Calculus of Logarithmic and Exponential Function, Techniques for Solving Integrals, Series, and Calculus with Polar Coordinates.",eng,YouTube,https://www.youtube.com/playlist?list=PLDesaqWTN6EQ2J4vgsN1HyBeRADEh4Cw-,"video"
An Introduction to Mathematical Statistics and its Applications,"An Introduction to Mathematical Statistics and its Applications_cover.png","An Introduction to Mathematical Statistics and its Applications Textbook",eng,Textbook,"An Introduction to Mathematical Statistics and its Applications.pdf","pdf"
Discrete Mathematics with Applications,"DISCRETE MATHEMATICS_cover.png","Discrete Mathematics with Applications Textbook",eng,Textbook,"DISCRETE MATHEMATICS.pdf","pdf"
An Introduction to Mathematical Statistics and Its Applications,"Richard J. Larsen, Morris L. Marx - An Introduction to Mathematical Statistics and Its Applications, 5th Edition    -Prentice Hall _ Pearson (2011)_cover.png","Richard J. Larsen, Morris L. Marx - An Introduction to Mathematical Statistics and Its Applications, 5th Edition -Prentice Hall _ Pearson (2011)",eng,Textbook,"Richard J. Larsen, Morris L. Marx - An Introduction to Mathematical Statistics and Its Applications, 5th Edition    -Prentice Hall _ Pearson (2011).pdf","pdf"
Linear Algebra and its Applications,"Linear Algebra and its Applications_cover.png","Linear Algebra and its Applications Textbook",eng,Textbook,"Linear Algebra and its Applications.pdf","pdf"
